X,Y,OBJECTID,STATE_FIPS,CNTY_FIPS,FIPS,NUM_LICENSED_BEDS,NUM_STAFFED_BEDS,NUM_ICU_BEDS,BED_UTILIZATION,Potential_Increase_In_Bed_Capac
-93.2624033,44.9720951,2001,27,53,27053,894,330,24,0.6788567,564
-93.2057649,44.9015633,2002,27,53,27053,,,,,0
-93.2620166,44.9525623,2003,27,53,27053,952,599,30,0.7180049,353
-93.3618329,44.9296241,2004,27,53,27053,426,361,22,0.5993956,65
-93.3260119,44.8859974,2005,27,53,27053,390,316,23,0.6331975,74
-93.2371084,44.9678061,2006,27,53,27053,1700,778,21,0.7579772,922
-93.264106,44.960195,2007,27,53,27053,20,8,,0.002358491,12
-93.3224025,45.013944,2008,27,53,27053,518,341,53,0.6062106,177
-95.0614824,46.9168179,2009,27,57,27057,50,25,,0.4572055,25
-93.2309159,45.5664046,2010,27,59,27059,86,70,,0.37773,16
-93.5553187,47.2236251,2011,27,61,27061,64,36,,0.3502283,28
-93.645004,47.7470899,2012,27,61,27061,20,20,,0.1331507,0
-93.7916208,47.3442148,2013,27,61,27061,20,20,,0.160411,0
-95.0041788,43.6242381,2014,27,63,27063,20,14,,0.1741683,6
-93.2937605,45.8769347,2015,27,65,27065,49,25,4,0.3363288,24
-95.0460933,45.1199948,2016,27,67,27067,136,81,8,0.4143751,55
-96.9400281,48.7672604,2017,27,69,27069,15,15,,0.1072146,0
-93.431731,48.594926,2018,27,71,27071,25,18,,0.3682171,7
-96.1872148,45.0174813,2019,27,73,27073,12,12,,0.3369863,0
-96.065951,44.931475,2020,27,73,27073,20,20,,0.1853425,0
-91.666318,47.029698,2021,27,75,27075,25,16,,0.4135274,9
-94.6005033,48.7065214,2022,27,77,27077,15,15,,0.2065753,0
-93.9148342,44.4539882,2023,27,79,27079,15,9,,0.2,6
-96.4188425,44.5061806,2024,27,81,27081,24,24,,0.07819635,0
-96.1302505,44.272004,2025,27,81,27081,20,20,,0.07684279,0
-95.7775519,44.4477936,2026,27,83,27083,49,25,,0.4118356,24
-95.607441,44.2324568,2027,27,83,27083,25,25,,0.05391781,0
-94.3728798,44.8757643,2028,27,85,27085,66,49,6,0.3947442,17
-94.151892,44.777675,2029,27,85,27085,49,25,,0.3833425,24
-95.973211,47.3109678,2030,27,87,27087,18,10,,0.1452055,8
-96.7730766,48.1913294,2031,27,89,27089,12,12,,0.2221461,0
-94.4458,43.6713,2032,27,91,27091,57,55,,0.2172354,2
-94.528802,45.119098,2033,27,93,27093,35,25,,0.2808767,10
-93.6624939,46.0731822,2034,27,95,27095,28,28,,0.277593,0
-93.5901017,45.5584374,2035,27,141,27141,54,33,4,0.3759236,21
-94.3627,45.9673,2036,27,97,27097,49,25,,0.3427945,24
-95.75984,43.992305,2037,27,101,27101,25,20,,0.1683562,5
-93.973016,44.3494125,2038,27,103,27103,17,17,,0.4757454,0
-95.5990326,43.6217626,2039,27,105,27105,48,48,,0.144121,0
-96.5315442,47.2978543,2040,27,107,27107,14,14,,0.04911937,0
-92.4405228,44.0199261,2041,27,109,27109,61,61,6,0.1880979,0
-92.4815903,44.0208655,2042,27,109,27109,2059,1115,212,0.7344281,944
-96.0736053,46.2768753,2043,27,111,27111,108,80,5,0.2085274,28
-95.5931883,46.5939093,2044,27,111,27111,25,25,,0.2741918,0
-96.1954341,48.0911416,2045,27,113,27113,26,25,,0.3442192,1
-92.8852737,46.1177709,2046,27,115,27115,30,9,,0.2605784,21
-96.3226191,43.9907179,2047,27,117,27117,44,18,,0.1601218,26
-95.739282,47.5713352,2048,27,119,27119,43,24,,0.1791096,19
-96.6179811,47.7742796,2049,27,119,27119,49,30,5,0.263927,19
-95.3898601,45.6465772,2050,27,121,27121,34,19,,0.4650325,15
-93.033747,45.0289627,2051,27,123,27123,184,184,20,0.5645771,0
-93.0947549,44.9556937,2052,27,123,27123,454,431,16,0.8367326,23
-93.1000226,44.9490988,2053,27,123,27123,401,197,48,0.8221729,204
-93.107201,44.9433017,2054,27,123,27123,546,336,21,0.7606654,210
-95.1069004,44.5365019,2055,27,127,27127,25,25,,0.1907182,0
-94.9730569,44.7752533,2056,27,129,27129,16,16,,0.2628425,0
-93.1915393,44.4734265,2057,27,37,27037,37,37,,0.3485376,0
-93.257442,44.28842,2058,27,131,27131,49,32,,0.3230308,17
-96.2124869,43.6710519,2059,27,133,27133,28,25,,0.2322192,3
-95.7599,48.8402,2060,27,135,27135,25,25,,0.3151781,0
-92.2295447,47.5180548,2061,27,137,27137,16,16,,0.1436644,0
-92.5499885,47.5314386,2062,27,137,27137,83,48,8,0.2737443,35
-92.0876204,46.7971796,2063,27,137,27137,267,238,25,0.6395634,29
-92.0933601,46.7930304,2064,27,137,27137,165,103,8,0.5307887,62
-92.9293991,47.4094872,2065,27,137,27137,175,73,4,0.5205855,102
-91.87181,47.900717,2066,27,137,27137,21,16,,0.1851027,5
-92.6796164,47.853084,2067,27,137,27137,14,14,,0.1369863,0
-92.096461,46.7937504,2068,27,137,27137,380,307,33,0.7690331,73
-93.5024466,44.7720995,2069,27,139,27139,93,89,,0.5154196,4
-93.5743888,44.5462516,2070,27,139,27139,49,20,,0.5316438,29
-94.0840968,44.6105013,2071,27,143,27143,20,16,,0.1501712,4
-94.1692047,45.5753591,2072,27,145,27145,489,457,42,0.6814664,32
-94.217306,45.5676009,2073,27,145,27145,15,15,,,0
-94.9557319,45.7458666,2074,27,145,27145,28,24,,0.2320776,4
-94.8233206,45.6752002,2075,27,145,27145,28,14,,0.4538161,14
-94.7158735,45.3739249,2076,27,145,27145,30,25,,0.2756164,5
-93.2507,44.1121,2077,27,147,27147,43,29,,0.5020311,14
-95.904878,45.5850735,2078,27,149,27149,49,25,,0.2761644,24
-95.6083252,45.3145082,2079,27,151,27151,31,18,,0.1243531,13
-94.7515625,46.3517242,2080,27,153,27153,37,25,3,0.4449315,12
-94.8484747,45.9737536,2081,27,153,27153,34,14,,0.5240704,20
-96.5011449,45.8086819,2082,27,155,27155,25,15,,0.09990867,10
-92.2845,44.4583,2083,27,49,27049,18,18,,0.3640791,0
-92.0484,44.3883,2084,27,157,27157,25,14,,0.2577299,11
-95.133226,46.4468419,2085,27,159,27159,49,25,2,0.2616986,24
-93.5084003,44.0816646,2086,27,161,27161,35,15,,0.4564384,20
-92.9764383,44.9219843,2087,27,163,27163,86,86,18,0.6368589,0
-92.8175569,45.0475288,2088,27,163,27163,97,68,13,0.3975423,29
-94.6226807,43.9699786,2089,27,165,27165,25,25,,0.2391233,0
-94.4095107,44.0496211,2090,27,165,27165,25,25,,0.1340274,0
-96.5884,46.2914,2091,27,167,27167,25,25,,0.2768219,0
-91.622968,44.034532,2092,27,169,27169,49,49,8,0.4210349,0
-93.8709564,45.1945029,2093,27,171,27171,65,44,,0.3527397,21
-93.7785989,45.3006265,2094,27,171,27171,39,25,3,0.4813151,14
-95.5432569,44.8085624,2095,27,173,27173,30,25,,0.1590137,5
-96.2788822,44.7077784,2096,27,173,27173,25,22,,0.2094645,3
-91.3913793,31.5278335,2097,28,1,28001,179,147,15,0.3120865,32
-88.5601317,34.9355756,2098,28,3,28003,200,163,24,0.5166989,37
-89.5983982,33.0656685,2099,28,7,28007,25,25,,0.3424658,0
-90.809246,33.79597,2100,28,11,28011,164,152,8,0.1930245,12
-88.9853661,33.8941928,2101,28,17,28017,84,39,,0.1306639,45
-90.9843,31.9462,2102,28,21,28021,32,22,,0.3627646,10
-88.728,32.0363,2103,28,23,28023,25,25,,0.4334247,0
-88.6612,33.6201,2104,28,25,28025,49,49,6,0.3370422,0
-90.551815,34.197105,2105,28,27,28027,181,181,10,0.1488786,0
-89.5544,31.6382,2106,28,31,28031,35,25,,0.5757808,10
-89.997632,34.971336,2107,28,33,28033,339,309,,0.6619852,30
-89.3295264,31.3185784,2108,28,35,28035,512,427,40,0.7192932,85
-89.366704,31.32573,2109,28,73,28073,211,130,17,0.4777871,81
-88.5937848,30.9219199,2110,28,39,28039,48,42,6,0.1931507,6
-89.795225,33.787152,2111,28,43,28043,156,49,,0.3684093,107
-89.3547281,30.3172291,2112,28,45,28045,102,47,6,0.190443,55
-88.9450284,30.4148594,2113,28,47,28047,,,,,0
-89.0932631,30.4440582,2114,28,47,28047,130,100,13,0.2917776,30
-89.1153,30.3667,2115,28,47,28047,445,281,26,0.6806903,164
-88.8896523,30.3958649,2116,28,47,28047,198,165,18,0.4468908,33
-90.1690137,32.3344866,2117,28,49,28049,697,697,20,0.8160741,0
-90.1794976,32.3150536,2118,28,49,28049,683,430,28,0.5871169,253
-90.1674953,32.3278243,2119,28,49,28049,,,,,0
-90.1718128,32.3282613,2120,28,49,28049,124,31,,,93
-90.1012499,32.329541,2121,28,121,28121,109,33,,0.301785,76
-90.1648217,32.3321798,2122,28,49,28049,571,571,56,0.6090587,0
-90.2545231,32.2876401,2123,28,49,28049,319,248,45,0.3331971,71
-90.0128,33.1217,2124,28,51,28051,25,25,,0.2858082,0
-88.5329127,30.3743855,2125,28,59,28059,435,435,48,0.5622517,0
-89.291182,31.9770036,2126,28,61,28061,16,16,,0.319589,0
-91.0685345,31.7048425,2127,28,63,28063,30,12,,0.09452055,18
-89.8726,31.5941,2128,28,65,28065,35,25,,0.1990137,10
-89.1407465,31.6850255,2129,28,67,28067,285,268,14,0.3632795,17
-89.5310101,34.3474556,2130,28,71,28071,217,169,24,0.5367269,48
-88.6975456,32.3705122,2131,28,75,28075,215,182,22,0.3190275,33
-88.6989698,32.3675204,2132,28,75,28075,69,33,,0.520714,36
-88.6778,32.4096,2133,28,75,28075,154,83,,0.2233042,71
-90.099509,31.554346,2134,28,77,28077,25,25,,0.2608219,0
-88.7160122,34.242066,2135,28,81,28081,650,527,24,0.5817833,123
-90.1998212,33.5177886,2136,28,83,28083,208,173,9,0.2979492,35
-90.4580392,31.5892013,2137,28,85,28085,99,90,5,0.1892238,9
-88.4274243,33.5256825,2138,28,87,28087,315,158,18,0.3819143,157
-90.0831615,32.5814133,2139,28,89,28089,67,67,7,0.1758332,0
-89.805606,31.25594,2140,28,91,28091,49,49,6,0.3746156,0
-89.417066,34.787199,2141,28,93,28093,40,27,,0.2033485,13
-88.4768,33.9746,2142,28,95,28095,95,95,9,0.2637058,0
-89.7377,33.4899,2143,28,97,28097,25,25,,0.4227945,0
-89.1324866,32.7603148,2144,28,99,28099,20,20,,0.09205479,0
-89.1064866,32.7570462,2145,28,99,28099,48,38,,0.2787311,10
-88.8205786,33.4758006,2146,28,105,28105,96,88,6,0.232055,8
-89.9167802,34.3046469,2147,28,107,28107,112,45,,0.5762712,67
-89.6647868,30.5523315,2148,28,109,28109,60,49,6,0.3992397,11
-89.5423618,30.8562893,2149,28,109,28109,24,24,,0.3906393,0
-90.4594509,31.1459704,2150,28,113,28113,31,17,,0.209025,14
-90.4744002,31.2510174,2151,28,113,28113,160,160,16,0.2593665,0
-88.9957229,34.2424759,2152,28,115,28115,25,25,,0.6270685,0
-88.5656883,34.6578878,2153,28,117,28117,114,39,,0.1607306,75
-90.0348407,32.286473,2154,28,121,28121,134,114,8,0.1378995,20
-90.0719,32.2355,2155,28,121,28121,43,32,,0.1023973,11
-89.4701929,32.365922,2156,28,123,28123,35,25,,0.4518356,10
-89.7549,32.377843,2157,28,121,28121,25,25,,0.3943014,0
-90.884362,32.904683,2158,28,125,28125,29,19,,0.3031002,10
-89.886392,31.969099,2159,28,127,28127,35,25,,0.3436712,10
-89.7291859,31.8711038,2160,28,127,28127,64,44,,0.2678082,20
-89.1164714,30.8455496,2161,28,131,28131,25,25,,0.5409315,0
-90.545497,33.73419,2162,28,133,28133,35,25,,0.6993973,10
-90.6501,33.4572,2163,28,133,28133,49,47,,0.2480909,2
-88.9505543,34.7395397,2164,28,139,28139,25,25,,0.4237808,0
-88.2084738,34.8020057,2165,28,141,28141,48,48,,0.2657534,0
-89.0276986,34.4975149,2166,28,145,28145,153,92,8,0.2621501,61
-89.1035802,32.5754503,2167,28,101,28101,25,25,,0.5849863,0
-90.156964,31.120222,2168,28,147,28147,25,25,,0.1986849,0
-90.824874,32.374417,2169,28,149,28149,361,301,22,0.3243526,60
-91.034791,33.410986,2170,28,151,28151,227,177,22,0.4137605,50
-88.6343747,31.6733795,2171,28,153,28153,80,49,6,0.5433044,31
-89.2652627,33.5341694,2172,28,155,28155,38,38,,0.535256,0
-91.058839,31.082066,2173,28,5,28005,25,16,,0.544863,9
-89.0367029,33.124245,2174,28,159,28159,41,14,,0.2399217,27
-89.6422797,34.1314156,2175,28,161,28161,26,26,,0.6001053,0
-92.5901721,40.1927378,2176,29,1,29001,93,51,10,0.458931,42
-95.3971,40.3460228,2177,29,5,29005,18,16,,0.3419521,2
-91.8774964,39.1725382,2178,29,7,29007,88,40,,0.2893836,48
-93.8722326,36.674653,2179,29,9,29009,18,18,,0.1634703,0
-93.9305089,36.9269707,2180,29,9,29009,25,25,,0.2824109,0
-94.2999,37.5023,2181,29,11,29011,25,25,4,0.2533333,0
